include,label,title,pathology_category,assigned_groups,structure_id,rung_tag,rung_type,source_route,space_group,radiation,R1,wR2,Rint,completeness,alerts_A,alerts_B,alerts_C,catastrophic,cif_path,fcf_available,suggested_label
,,,Data quality — low resolution,,wm5793,01_res_1p0,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0253,0.0612,0.056,100.0%,3,2,6,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_01_res_1p0/I.cif,yes,wm5793_res1p0
,,,Data quality — low resolution,,wm5793,02_res_1p2,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0182,0.0466,0.047,100.0%,4,0,7,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_02_res_1p2/I.cif,yes,wm5793_res1p2
,,,Data quality — incomplete data,,wm5793,03_complete_88,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0394,0.0883,0.075,88.0%,0,2,6,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_03_complete_88/I.cif,yes,wm5793_complete88
,,,Data quality — incomplete data,,wm5793,04_complete_80,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0398,0.0884,0.078,80.0%,1,1,5,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_04_complete_80/I.cif,yes,wm5793_complete80
,,,Data quality — systematic gaps (3DED geometry),,wm5793,05_cone_3ded,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0396,0.0878,0.076,82.0%,1,1,6,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_05_cone_3ded/I.cif,yes,wm5793_cone3ded
,,,Data quality — low-angle wedge missing,,wm5793,06_wedge_lowang,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0424,0.0989,0.082,100.0%,0,0,7,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_06_wedge_lowang/I.cif,yes,wm5793_wedgelowang
,,,Data quality — weak data,,wm5793,07_weak,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0326,0.0959,0.077,100.0%,0,0,6,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_07_weak/I.cif,yes,wm5793_weak
,,,Data quality — absorption error,,wm5793,08_absorption,data-degradation,synthetic-degraded,P 21 21 21,Mo,0.0629,0.1625,0.201,100.0%,0,1,4,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_08_absorption/I.cif,yes,wm5793_absorption
,,,Atom misassignment,,wm5793,wa,wrong-atom,synthetic-wrong-atom,P 21 21 21,Mo,0.0526,0.1509,0.077,100.0%,1,1,5,,Pipeline/Good_Structures_and_data/wm5793/ladder/rung_wa/I.cif,yes,wm5793_wa
,,,Reference (no degradation),,yz2076,00_reference,data-degradation,synthetic-degraded,P -1,Mo,0.0319,0.0941,0.038,97.4%,0,0,4,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_00_reference/I.cif,yes,yz2076_reference
